name	type	others	A	V	S	L
SLC2A4	promoter_candidate	promoter_candidate179	0	0	1	0
COQ8A	promoter_candidate	promoter_candidate180	0	0	1	0
LDHD	promoter_candidate	promoter_candidate181	0	1	0	0
SH3BGR	promoter_candidate	promoter_candidate182	0	0	1	0
SERPINF1	promoter_candidate	promoter_candidate183	1	0	0	0
PALMD	promoter_candidate	promoter_candidate184	0	0	1	0
KLHL41	promoter_candidate	promoter_candidate186	0	0	1	0
TP53INP2	promoter_candidate	promoter_candidate187	1	0	0	0
S100A9	promoter_candidate	promoter_candidate188	1	0	0	0
BCAM	promoter_candidate	promoter_candidate189	1	0	0	0
BCAM_ATG	promoter_candidate	promoter_candidate190	1	0	0	0
COL1A2	promoter_candidate	promoter_candidate191	1	0	0	0
HLA-DRA	promoter_candidate	promoter_candidate192	1	0	0	0
ADPRHL1	promoter_candidate	promoter_candidate193	0	0	1	0
MT1X	promoter_candidate	promoter_candidate194	0	0	1	0
TNNT1	promoter_candidate	promoter_candidate195	0	0	1	0
FSTL1	promoter_candidate	promoter_candidate196	1	0	0	0
DSP	promoter_candidate	promoter_candidate197	0	1	0	0
CORO6	promoter_candidate	promoter_candidate198	0	0	1	0
FHOD3	promoter_candidate	promoter_candidate199	0	1	0	0
CDK18	promoter_candidate	promoter_candidate200	0	1	0	0
PLPP7	promoter_candidate	promoter_candidate201	0	0	1	0
HPR	promoter_candidate	promoter_candidate203	0	0	0	1
HPR_ATG	promoter_candidate	promoter_candidate204	0	0	0	1
UNC45B	promoter_candidate	promoter_candidate205	0	0	1	0
SVIL	promoter_candidate	promoter_candidate206	0	0	1	0
RBM24	promoter_candidate	promoter_candidate207	0	0	1	0
PPP1R3C	promoter_candidate	promoter_candidate210	0	0	1	0
JPH2	promoter_candidate	promoter_candidate211	0	1	0	0
ACTA2	promoter_candidate	promoter_candidate212	1	0	0	0
TAGLN	promoter_candidate	promoter_candidate214	1	0	0	0
MMP2	promoter_candidate	promoter_candidate215	1	0	0	0
PDE4DIP	promoter_candidate	promoter_candidate216	0	0	1	0
PPP1R13L	promoter_candidate	promoter_candidate217	0	1	0	0
PPP1R14C	promoter_candidate	promoter_candidate218	1	0	0	0
FABP5	promoter_candidate	promoter_candidate219	0	1	0	0
S100A4	promoter_candidate	promoter_candidate220	1	0	0	0
ALPK3	promoter_candidate	promoter_candidate221	0	0	1	0
NPPA	promoter_candidate	promoter_candidate222	1	0	0	0
MYL4	promoter_candidate	promoter_candidate223	1	0	0	0
NPPB	promoter_candidate	promoter_candidate224	1	0	0	0
DKK3_tv1	promoter_candidate	promoter_candidate225	1	0	0	0
DKK3_tv2	promoter_candidate	promoter_candidate226	1	0	0	0
PLA2G2A	promoter_candidate	promoter_candidate227	1	0	0	0
SLN	promoter_candidate	promoter_candidate228	0	0	1	0
BMP10	promoter_candidate	promoter_candidate229	1	0	0	0
BMP10_ATG	promoter_candidate	promoter_candidate230	1	0	0	0
FBLN1	promoter_candidate	promoter_candidate231	1	0	0	0
FN1	promoter_candidate	promoter_candidate232	1	0	0	0
FBLN2_tv1	promoter_candidate	promoter_candidate233	1	0	0	0
FBLN2_tv2	promoter_candidate	promoter_candidate234	1	0	0	0
NR4A1	promoter_candidate	promoter_candidate235	1	0	0	0
LUM	promoter_candidate	promoter_candidate238	1	0	0	0
MFAP4	promoter_candidate	promoter_candidate239	1	0	0	0
DPT	promoter_candidate	promoter_candidate240	1	0	0	0
PRELP	promoter_candidate	promoter_candidate241	1	0	0	0
EGR1	promoter_candidate	promoter_candidate242	1	0	0	0
CFH	promoter_candidate	promoter_candidate243	1	0	0	0
FLNA	promoter_candidate	promoter_candidate244	1	0	0	0
AEBP1	promoter_candidate	promoter_candidate245	1	0	0	0
COL3A1	promoter_candidate	promoter_candidate246	1	0	0	0
HAMP	promoter_candidate	promoter_candidate247	0	0	0	1
C1QTNF1	promoter_candidate	promoter_candidate248	1	0	0	0
EFEMP1	promoter_candidate	promoter_candidate249	1	0	0	0
IGFBP6	promoter_candidate	promoter_candidate250	1	0	0	0
FMOD	promoter_candidate	promoter_candidate251	1	0	0	0
SOD3	promoter_candidate	promoter_candidate252	1	0	0	0
IGFBP3	promoter_candidate	promoter_candidate253	1	0	0	0
HTRA3	promoter_candidate	promoter_candidate254	1	0	0	0
ADH1B	promoter_candidate	promoter_candidate255	1	0	0	0
ELN	promoter_candidate	promoter_candidate256	1	0	0	0
ELN_ATG	promoter_candidate	promoter_candidate257	1	0	0	0
TMEM176B	promoter_candidate	promoter_candidate258	0	0	0	1
CSRP1	promoter_candidate	promoter_candidate259	1	0	0	0
DHRS7C_tv1	promoter_candidate	promoter_candidate260	1	0	0	0
DHRS7C_tv2	promoter_candidate	promoter_candidate261	1	0	0	0
DHRS7C_tv2ATG	promoter_candidate	promoter_candidate262	1	0	0	0
PCOLCE2	promoter_candidate	promoter_candidate263	1	0	0	0
C11orf96	promoter_candidate	promoter_candidate264	1	0	0	0
CNN1	promoter_candidate	promoter_candidate265	1	0	0	0
CLU	promoter_candidate	promoter_candidate266	1	0	0	0
NDRG2_tv1	promoter_candidate	promoter_candidate267	1	0	0	0
NDRG2_tv2	promoter_candidate	promoter_candidate268	1	0	0	0
FBLN5	promoter_candidate	promoter_candidate269	1	0	0	0
PGM5	promoter_candidate	promoter_candidate270	1	0	0	0
APOE	promoter_candidate	promoter_candidate271	1	0	0	0
CALD1	promoter_candidate	promoter_candidate272	1	0	0	0
SRGN	promoter_candidate	promoter_candidate273	1	0	0	0
ADAMTS1	promoter_candidate	promoter_candidate274	1	0	0	0
MYBPHL	promoter_candidate	promoter_candidate277	1	0	0	0
PI16	promoter_candidate	promoter_candidate278	1	0	0	0
ANXA2	promoter_candidate	promoter_candidate279	1	0	0	0
PLA2G5	promoter_candidate	promoter_candidate280	1	0	0	0
COL1A1	promoter_candidate	promoter_candidate281	1	0	0	0
SBK2	promoter_candidate	promoter_candidate282	1	0	0	0
PCOLCE	promoter_candidate	promoter_candidate283	1	0	0	0
MCAM	promoter_candidate	promoter_candidate284	1	0	0	0
SRPX	promoter_candidate	promoter_candidate285	1	0	0	0
PLVAP	promoter_candidate	promoter_candidate286	1	0	0	0
CPLX3	promoter_candidate	promoter_candidate287	1	0	0	0
HSPG2	promoter_candidate	promoter_candidate288	1	0	0	0
TBX5	promoter_candidate	promoter_candidate289	1	0	0	0
