A_1_L_ratio	A_2_L_ratio	A_3_L_ratio	A_4_L_ratio	A_5_L_ratio	A_6_L_ratio	S_1_L_ratio	S_2_L_ratio	S_3_L_ratio	S_4_L_ratio	S_5_L_ratio	L_1_L_ratio	L_2_L_ratio	L_3_L_ratio	L_4_L_ratio	L_5_L_ratio	V_1_L_ratio	V_2_L_ratio	V_3_L_ratio	V_4_L_ratio	V_5_L_ratio	K_1_L_ratio	K_2_L_ratio	K_3_L_ratio	K_4_L_ratio	K_5_L_ratio	LA_1_L_ratio	LA_2_L_ratio	LA_3_L_ratio	LA_4_L_ratio	LA_5_L_ratio	LB_1_L_ratio	LB_2_L_ratio	LB_3_L_ratio	LB_4_L_ratio	LB_5_L_ratio
ACTA1:::CCT	1.1256572842309	0.845562388089306	0.359403183905821	0.163600807127417	0.526546785856602	0.619522522897922	1.90817338365205	3.57763497188373	2.70993536874888	2.55507756651485	3.21653138057266	-1.15964287237167	-1.05771414905997	-1.14154687225888	-1.18395697648503	-1.12083054569207	2.52732549817587	2.0078198723985	2.40693359023973	2.4639974652704	2.47885245710615	-3.87626209653321	-5.59179589584679	-5.86705475229498	-6.81989220482062	-4.21155528844286	-1.87478131140796	-2.26192064271154	-3.28485044700504	-2.02783886212834	-1.98355472360037	-2.83094300556311	-1.89298666438625	-2.17494420846339	-2.5712869796233	-1.75094568755506
ACTA2:::AAG	-0.642613528599656	-1.18348538342579	-1.09887613154463	-1.26822924345583	-1.30165564816111	-1.3460595098375	0.161030118622403	0.795154380750404	0.367419978578936	0.411635344218989	0.568896849177387	-1.29699634313693	-1.19873411190949	-1.22417792784931	-1.2353061683035	-1.1422793952284	-0.233173607067617	-0.159277836597408	-0.380422350397933	-0.119269831862122	0.465289894999924	-6.10055530834242	-5.5011627692506	-5.48703231105753	-5.25988217374393	-5.63185644330829	-3.84895585358347	-3.90410314885917	-4.51746310895397	-4.14759924716289	-3.94342734689559	-4.49680671476843	-3.59483699049383	-4.46866709286033	-3.4297089730112	-3.70205906927518
ACTA2:::CCT	-1.00800047820882	-1.41871388556821	-1.42490613152857	-1.56536884924601	-1.61122656950044	-1.45112819224953	-0.233706936805185	0.374832076210541	0.0574569313772876	-0.255299430516037	0.0813101387984892	-1.98399456230361	-1.96541443091757	-2.01193212782052	-2.04195038745956	-1.9663923506996	-0.707939221731396	-0.317056455161269	-0.883642753538427	-0.147455020210515	-0.207901345369021	-6.0392400349254	-5.98083401343503	-5.65432735309352	-6.63928983401024	-6.06426829145299	-4.02565036301508	-3.47773372235397	-4.74369737876906	-4.70975892048417	-4.23860065940142	-3.59644193346354	-4.26678760430066	-3.667988949919	-3.3789627650553	-3.97250239528575
ACTC1:::AAG	-0.39215344647526	-1.47136417151759	-1.04924174693189	-0.865164926202257	-1.21478918260811	-0.764200418491181	1.23837892580934	1.17876653332108	1.29904286456526	2.09711673349107	1.33675976389457	-1.45019711163524	-1.25470179522703	-1.3654158099302	-1.32372825671455	-1.38788622334306	0.597693633366506	0.388276803424722	-0.407349269214864	0.253415567440694	0.558806183881042	-6.49923542176299	-6.30647187338229	-6.00935218942633	-4.41435389479294	-6.10764190825281	-4.4651278875573	-3.18768347915028	-4.38829616808658	-3.53752613799058	-3.49498839806556	-6.86115737124777	-6.25242281241545	-7.32371911850172	-6.84681772846754	-7.12058992598288
ACTC1:::CCT	-0.601178047583746	-1.10322417473408	-1.47483150969302	-1.06895787841584	-1.17337317355407	-0.877503607546514	1.67468605369234	1.67055674258945	1.17571292270655	1.08837406767847	1.30915685421896	-2.12775058139099	-2.06474955319231	-2.17935159170724	-2.28811599779624	-2.26004021050012	-0.306683893534561	0.209146205963841	-0.0272524492800702	-0.286953276280345	0.0871797331044583	-5.78660272251406	-6.77651269696345	-6.72591084253486	-7.49069374462754	-5.87388305937225	-4.07350364531081	-3.89703859858375	-5.00376021655973	-5.1527984460548	-4.94655521910571	-2.797276724492	-5.80712628276308	-5.42389813831452	-5.25689303125563	-4.27731782571798
ACTN1:::AAG	-3.23692564594157	-2.29508767583933	-1.10441506478236	-2.48901669055383	-1.85783961970678	-2.64292511273876	-2.05946366303414	-0.679467375145024	-1.14673218070209	-2.38968240602931	-1.57432541012236	-1.36155361277982	-1.34782488994037	-1.16048410796193	-1.19201209395413	-1.25765615507575	-3.45611557857567	-2.16893218240983	-3.06714405529398	-2.39059132411389	-2.95794586722333	-5.83863387558371	-5.12966380703861	-5.80053374741256	-4.05886828869696	-5.8261569139893	-2.54447308270012	-3.12519919833861	-3.85025341134171	-3.08726611083753	-4.01032354514239	-4.42294684120063	-2.4131371704714	-2.97468779293768	-4.98793258157717	-3.75902117777649
ACTN1:::CCT	-3.02619942096393	-2.85321964806845	-2.41397139700866	-2.10890696740576	-3.5930448595928	-3.14101666520182	-3.09729396837879	-1.18721444325294	-0.79789625378148	-1.29139555169485	-3.14815312431285	-2.5467835672388	-2.25559489298639	-2.16408384000586	-2.223912867346	-2.33509768284759	-1.65360872903164	-3.21461256922991	-3.21758644570899	-2.01789510627122	-1.7380309066732	-5.84475111569973	-6.28015214297711	-4.37902351406842	-3.89942471974079	-5.56887715528867	-3.5443356108527	-5.07055248844933	-4.80262444934656	-4.54641427801297	-4.29693628775456	-6.28015214297711	-4.16010444262559	-6.0372745855084	-2.93234168261464	-6.08832243484654
ACTN3:::AAG	-1.47802765926539	-1.80883920234735	-1.9057716187156	-0.81029144454896	-1.24640435475995	-1.36063510611786	0.00801277688740231	-0.105615288300453	-0.731495403631621	-0.483496302485639	-0.284625645874007	-0.842897334636019	-0.811095327883723	-0.73226112873876	-0.80021204258153	-0.747942992160674	0.376027724299959	-0.265686284642934	-0.763719544448681	0.128111111243625	0.0145535313297309	-6.07667523572986	-5.95730284905629	-6.12448210271913	-5.28326646067739	-4.85504271246753	-3.3096062079308	-3.33869418603345	-3.42387807207511	-3.72832601014622	-3.12835960073311	-3.25486576339366	-3.53744452469754	-3.97246876638787	-4.1120955408988	-3.43910983178831
ACTN3:::CCT	-1.71142299143168	-1.67898529114519	-1.7509523123382	-1.8483589901401	-1.50643000170361	-1.6266395507994	-0.534581302448294	-0.502928999929663	-0.479081095459072	-0.730307102067824	-0.749593856053775	-1.49819387656377	-1.49370551374349	-1.49981397420906	-1.61415022362419	-1.46309972267484	-0.418697631037768	-0.666608117311646	-0.518536008007728	-0.422362137812397	0.0172457341397581	-6.37736530279573	-6.7401787713317	-7.60648876796703	-6.08038288859445	-5.64205067038209	-3.66788440630135	-3.71074898897239	-4.48410241048251	-4.47466757176724	-4.76091413832451	-3.44932059433433	-4.20578931612118	-3.3522192866391	-3.69973481071628	-3.73502250584409
ADAMTS1:::AAG	1.82531332066737	1.52624645191114	1.75308489510709	1.37562240032907	1.17018752688886	1.61052593172178	2.60601772369211	1.7517932351195	2.21781202948742	2.63026301900998	1.97162912699749	1.63092871556148	1.71537995025107	1.77528882178567	1.87016102340967	1.7729425371483	2.1059585005749	2.35489368161105	2.62517261618923	2.427903977177	2.27336074685479	-1.93357805097778	-2.74114267685007	-1.55345524755843	-2.2548594903503	-2.99616327318981	-0.726794442639398	-0.156246959485523	-1.31371227666637	-0.726208879837224	-1.28090919867266	-0.32419746132647	-0.385781002408145	-1.06713923863154	-1.46073394214785	-1.09773658740619
