L_1	L_2	L_3	L_4	L_5	L2_1	L2_2,	L2_3	L2_4	L2_5
ADH6:::CCT	2.54472563794295	2.57197668725743	2.55468981066961	2.54431540486279	2.68525384224255	2.76475894291638	2.73690838947609	2.7308966200545	3.00445764950902	2.75797797728423
ADM:::AAG	2.53742891872672	2.66110560499291	2.77977994136494	2.90602484092595	2.84803188919355	2.25612439071731	2.15330485877409	2.35696953946967	2.31890235139253	2.40241350847731
ADM:::CCT	2.23883149374761	2.28188159523059	2.29479652992178	2.36869297081272	2.32492116656161	2.15327318033659	2.12398170887697	2.18214576606831	2.26207914473188	2.21979951028823
ADPRHL1:::AAG	0.746656137861968	0.790160017526844	0.882790507841529	0.943691734308042	0.976694333853463	0.418190008129649	0.521338531215123	0.539027129016464	0.491368862631536	0.567883918454785
ADPRHL1:::CCT	0.377886995851026	0.319141386635463	0.257955941317756	0.319752186375538	0.358305471823932	0.396958410241204	0.390281447134257	0.369210138804944	0.271521631037518	0.529376936863463
AFM_ATG:::AAG	-0.0719648246631929	-0.176293206242621	-0.00163738262363427	-0.0385977994112846	-0.0754092051587563	-0.0138477221488731	0.0112482201364611	0.101526509226563	0.0720411798254556	-0.149461722093089
AFM_ATG:::CCT	0.176866505772574	0.139917826271111	0.185024182648004	0.182672851765021	0.168454933845316	1.06547155461862	0.511183381925603	0.986602202558646	0.845464974321581	0.587470488250837
AFM:::AAG	-0.461211275899338	-0.390412070090767	-0.344266600607965	-0.352466931529909	-0.37271275772956	-0.293656739341956	-0.197931140655892	-0.125953859807634	-0.161900971922286	-0.0321943864488166
AFM:::CCT	-0.190638300586239	-0.270743965053466	-0.0328064002514601	-0.0955446180704782	-0.159058483882364	0.243974662479972	0.334762048923244	0.772423438616059	0.726322378556006	0.325930344859788
AGPAT2:::AAG	0	0	0	0	0	1.02540548798838	1.05361267920853	1.47183573517678	1.43586287312837	1.31977677117219
AGPAT2:::CCT	0	0	0	0	0	0.921662775863368	1.8088341624805	0.794941364978281	1.54545353422538	1.23831935927114
AGT:::AAG	1.3117899079259	1.41934563104367	1.40092395640906	1.47351580409195	1.50919803679465	1.26031157772948	1.16896046801016	1.10670707659107	1.18117114016876	1.15118398261029
AGT:::CCT	1.6860273439982	1.69890986499431	1.59809701454783	1.60603542072181	1.72722989404015	1.8572750935901	1.85662107346883	1.7225524261442	1.75615278335035	1.74571222691854
AKR1C4_ATG:::AAG	-1.13143628032042	-1.06136329682347	-1.02663980687261	-0.781816590241929	-1.09034389443145	-0.962987406586658	-0.706563449610691	-0.921699734349863	-0.623598961706241	-1.02657947424605
AKR1C4_ATG:::CCT	-2.03868195006596	-1.95344657518046	-2.13886640028133	-1.93682573945127	-1.92268216853339	-1.615328585578	-1.52143539501464	-1.45794329460427	-1.47148305979334	-1.58470639308923
AKR1C4:::AAG	-1.07097570176535	-1.02611946855068	-1.08180474588974	-0.926598023676573	-0.97572425320093	-0.941472611584201	-0.946097288315414	-0.940125204253393	-0.870521613739364	-0.914803144288945
AKR1C4:::CCT	-1.73223105864973	-2.14250066102554	-1.91432730202605	-1.85877433639636	-1.88419574989301	-1.2041245032895	-1.42973179301032	-1.24445441559489	-1.15841756003204	-1.41570289382222
