A_1_ratio	A_2_ratio	A_3_ratio	A_4_ratio	A_5_ratio	A_6_ratio	S_1_ratio	S_2_ratio	S_3_ratio	S_4_ratio	S_5_ratio	L_1_ratio	L_2_ratio	L_3_ratio	L_4_ratio	L_5_ratio	V_1_ratio	V_2_ratio	V_3_ratio	V_4_ratio	V_5_ratio	Promoters	enhancer_type	group	raw_names	A	V	S	L	L_DESeq2_Active	A_DESeq2_Active	S_DESeq2_Active	V_DESeq2_Active	A_1_ratio	A_2_ratio	A_3_ratio	A_4_ratio	A_5_ratio	A_6_ratio	S_1_ratio	S_2_ratio	S_3_ratio	S_4_ratio	S_5_ratio	L_1_ratio	L_2_ratio	L_3_ratio	L_4_ratio	L_5_ratio	V_1_ratio	V_2_ratio	V_3_ratio	V_4_ratio	V_5_ratio
ACACB_tv1ATG:::AAG	-0.416055004884643	-0.171971079078558	-0.521763107095496	-0.160243552038177	-0.147604642370682	-0.486062079908226	-1.87591208091294	-1.52139476620992	-0.410270911432685	-2.00092709256074	-1.92887455769849	-0.56916257741497	-0.705495299065217	-0.706598411508273	-0.732086886582796	-0.817814192680887	-0.756555139013099	-1.28366993833725	-1.37838313370264	-1.46854904997096	-0.889670329636239	ACACB_tv1ATG	AAG	promoter_candidate	promoter_candidate398	0	0	1	0	0	1	0	0	-0.416055004884643	-0.171971079078558	-0.521763107095496	-0.160243552038177	-0.147604642370682	-0.486062079908226	-1.87591208091294	-1.52139476620992	-0.410270911432685	-2.00092709256074	-1.92887455769849	-0.56916257741497	-0.705495299065217	-0.706598411508273	-0.732086886582796	-0.817814192680887	-0.756555139013099	-1.28366993833725	-1.37838313370264	-1.46854904997096	-0.889670329636239
ACACB_tv1ATG:::CCT	-0.601698724660683	-0.334745751993544	-0.696542580196046	-0.884521315771912	-0.833551951349824	-0.806771113050147	-1.63681780894803	-2.84210108977452	-1.60598927419784	-2.4877580453948	-2.53746451078638	-0.690334982730249	-1.07310575119419	-1.24434086429696	-1.31733270146671	-1.29381379368978	-1.46564692261075	-1.13025628783221	-1.7366114350117	-1.82223687688053	-1.48467530943519	ACACB_tv1ATG	CCT	promoter_candidate	promoter_candidate398	0	0	1	0	0	0	0	0	-0.601698724660683	-0.334745751993544	-0.696542580196046	-0.884521315771912	-0.833551951349824	-0.806771113050147	-1.63681780894803	-2.84210108977452	-1.60598927419784	-2.4877580453948	-2.53746451078638	-0.690334982730249	-1.07310575119419	-1.24434086429696	-1.31733270146671	-1.29381379368978	-1.46564692261075	-1.13025628783221	-1.7366114350117	-1.82223687688053	-1.48467530943519
ACACB_tv2:::AAG	-0.343214702355361	-0.117094881397546	0.259024946595605	0.35946484191588	-0.0464019039854513	-0.158070920333658	-1.67719893601771	-2.9768314584169	-1.84203706922043	-2.53860843451513	-3.27344373885158	-1.64834214419862	-1.89229590802143	-1.73991708392215	-1.63643094166773	-1.78417873437665	-0.619652426332237	-1.43633735952285	-1.10078526869038	-0.435571235663954	-0.760366026834272	ACACB_tv2	AAG	promoter_candidate	promoter_candidate399	0	0	1	0	0	1	0	0	-0.343214702355361	-0.117094881397546	0.259024946595605	0.35946484191588	-0.0464019039854513	-0.158070920333658	-1.67719893601771	-2.9768314584169	-1.84203706922043	-2.53860843451513	-3.27344373885158	-1.64834214419862	-1.89229590802143	-1.73991708392215	-1.63643094166773	-1.78417873437665	-0.619652426332237	-1.43633735952285	-1.10078526869038	-0.435571235663954	-0.760366026834272
ACACB_tv2:::CCT	0.142447198534353	-0.140257427264825	0.318905408179792	-0.0551333287041733	0.203573647205456	0.142597022493275	-1.90317201446521	-3.25571180694266	-3.84621420792749	-2.03306298567193	-2.34950008201696	-2.81865790976712	-2.36534238036236	-2.59350450230782	-2.60695091067109	-2.60529646648354	-0.71302444779902	-0.882113300208566	-0.502895117648248	-0.517071971152222	-0.650441458587939	ACACB_tv2	CCT	promoter_candidate	promoter_candidate399	0	0	1	0	0	1	0	1	0.142447198534353	-0.140257427264825	0.318905408179792	-0.0551333287041733	0.203573647205456	0.142597022493275	-1.90317201446521	-3.25571180694266	-3.84621420792749	-2.03306298567193	-2.34950008201696	-2.81865790976712	-2.36534238036236	-2.59350450230782	-2.60695091067109	-2.60529646648354	-0.71302444779902	-0.882113300208566	-0.502895117648248	-0.517071971152222	-0.650441458587939
ACMSD:::AAG	-2.93633758264542	-0.813779023639021	-1.06726568771501	-1.01957580226671	-0.766270344211329	-1.20909292208687	-3.17939461304144	-3.20326948856558	-1.53927033730781	-1.51115042025255	-2.93720726246588	0.179870178452721	0.231074152898082	0.0361326772658157	0.0412240058842497	0.0128958842523987	-2.99171999037446	-3.48264178449581	-3.24460618715345	-0.454141376327612	-0.77826574832218	ACMSD	AAG	promoter_candidate	promoter_candidate756	0	0	0	1	1	0	0	0	-2.93633758264542	-0.813779023639021	-1.06726568771501	-1.01957580226671	-0.766270344211329	-1.20909292208687	-3.17939461304144	-3.20326948856558	-1.53927033730781	-1.51115042025255	-2.93720726246588	0.179870178452721	0.231074152898082	0.0361326772658157	0.0412240058842497	0.0128958842523987	-2.99171999037446	-3.48264178449581	-3.24460618715345	-0.454141376327612	-0.77826574832218
ACMSD:::CCT	-2.11344121055971	-1.75154332920902	-1.49283419936424	-1.00576705802014	-2.82197669120683	-2.7091817609058	-4.74533037172017	-4.60050545874296	-4.77800061432456	-3.78627013086792	-2.53130643078644	0.581851166960374	0.490181380883894	0.531262773122541	0.565533929203726	0.562076752626031	-2.7092437460003	-2.56828949815129	-2.48630706641665	-2.89100447462979	-2.70428702203133	ACMSD	CCT	promoter_candidate	promoter_candidate756	0	0	0	1	1	0	0	0	-2.11344121055971	-1.75154332920902	-1.49283419936424	-1.00576705802014	-2.82197669120683	-2.7091817609058	-4.74533037172017	-4.60050545874296	-4.77800061432456	-3.78627013086792	-2.53130643078644	0.581851166960374	0.490181380883894	0.531262773122541	0.565533929203726	0.562076752626031	-2.7092437460003	-2.56828949815129	-2.48630706641665	-2.89100447462979	-2.70428702203133
ACSM2A:::AAG	-1.46839035616524	-0.113861993491511	-0.874763709000015	-1.12324903730801	-0.66339557190991	-1.45438629048196	0.664143638345132	-1.8019840060927	-2.4752225915403	-0.853920895283086	-1.50489434985804	0.29556822895103	0.305617965472114	0.416038157643396	0.331872701409398	0.349775162533683	-1.42288690137795	-1.44754423820285	-0.92610007554563	-1.81104010034997	-1.47347853290464	ACSM2A	AAG	promoter_candidate	promoter_candidate614	0	0	0	1	1	0	0	0	-1.46839035616524	-0.113861993491511	-0.874763709000015	-1.12324903730801	-0.66339557190991	-1.45438629048196	0.664143638345132	-1.8019840060927	-2.4752225915403	-0.853920895283086	-1.50489434985804	0.29556822895103	0.305617965472114	0.416038157643396	0.331872701409398	0.349775162533683	-1.42288690137795	-1.44754423820285	-0.92610007554563	-1.81104010034997	-1.47347853290464
ACSM2A:::CCT	-1.33079462191657	-1.07829200550439	-1.75768207321395	-1.73433063637071	-1.80638165534141	-1.51682014563385	-1.42271494754639	-1.9947382538103	-2.33868855259209	-1.75483955890252	-1.55257053664413	1.06063172556112	0.910865421565981	0.97665150353495	0.932640250808205	0.954532766173854	-1.25226064638637	-2.50002771234593	-1.96836314525424	-0.331229820208206	-1.36471892296227	ACSM2A	CCT	promoter_candidate	promoter_candidate614	0	0	0	1	1	0	0	0	-1.33079462191657	-1.07829200550439	-1.75768207321395	-1.73433063637071	-1.80638165534141	-1.51682014563385	-1.42271494754639	-1.9947382538103	-2.33868855259209	-1.75483955890252	-1.55257053664413	1.06063172556112	0.910865421565981	0.97665150353495	0.932640250808205	0.954532766173854	-1.25226064638637	-2.50002771234593	-1.96836314525424	-0.331229820208206	-1.36471892296227
ACSM2B:::AAG	-1.22200670514543	-1.89512873601898	-1.06526709037023	-1.27410157461284	-1.27087131410546	-1.65451969978279	-1.7139385088614	-0.620368827736264	-1.83814452032419	-1.79752122485566	-1.91902330648358	0.214134147413911	0.23611719594239	0.229002020320686	0.243308204888667	0.197678621504815	-0.960118664346251	-1.36147021884868	-0.853363034942336	-0.871139101566234	-1.48739897433781	ACSM2B	AAG	promoter_candidate	promoter_candidate626	0	0	0	1	1	0	0	0	-1.22200670514543	-1.89512873601898	-1.06526709037023	-1.27410157461284	-1.27087131410546	-1.65451969978279	-1.7139385088614	-0.620368827736264	-1.83814452032419	-1.79752122485566	-1.91902330648358	0.214134147413911	0.23611719594239	0.229002020320686	0.243308204888667	0.197678621504815	-0.960118664346251	-1.36147021884868	-0.853363034942336	-0.871139101566234	-1.48739897433781
ACSM2B:::CCT	-1.97387688651094	-1.5156370219343	-1.59934210071458	-1.35003060950913	-1.55117643017867	-1.68216643996529	0.136056206426752	-2.67301044001779	-1.80066423408416	-2.03753816144084	-2.25495361714772	0.927377801942372	0.868949633388108	0.868260382801738	0.798019906155256	0.864842960468752	-1.03751605756527	-1.93355988586479	-1.98499023394716	-1.22516422967899	-1.93654565574777	ACSM2B	CCT	promoter_candidate	promoter_candidate626	0	0	0	1	1	0	0	0	-1.97387688651094	-1.5156370219343	-1.59934210071458	-1.35003060950913	-1.55117643017867	-1.68216643996529	0.136056206426752	-2.67301044001779	-1.80066423408416	-2.03753816144084	-2.25495361714772	0.927377801942372	0.868949633388108	0.868260382801738	0.798019906155256	0.864842960468752	-1.03751605756527	-1.93355988586479	-1.98499023394716	-1.22516422967899	-1.93654565574777
