A_1_ratio_scaled	A_2_ratio_scaled	A_3_ratio_scaled	A_4_ratio_scaled	A_5_ratio_scaled	A_6_ratio_scaled	S_1_ratio_scaled	S_2_ratio_scaled	S_3_ratio_scaled	S_4_ratio_scaled	S_5_ratio_scaled	L_1_ratio_scaled	L_2_ratio_scaled	L_3_ratio_scaled	L_4_ratio_scaled	L_5_ratio_scaled	V_1_ratio_scaled	V_2_ratio_scaled	V_3_ratio_scaled	V_4_ratio_scaled	V_5_ratio_scaled
ACACB_tv2:::AAG	-0.548456664572915	-0.326408887844582	-0.0818423662072351	0.000187850114589134	-0.266843113754964	-0.319473068998686	-1.49505550457287	-2.63461769502956	-1.5161557543742	-2.20343064312475	-2.90850678517219	-1.81475425812906	-2.02956805684726	-1.88061208799473	-1.7366862989706	-1.84279719788322	-0.452151552621843	-1.21803851169514	-1.0446535264518	-0.417825151610655	-0.552856764338973
ACACB_tv2:::CCT	-0.0628249788828656	-0.349611806631123	-0.0220016869894095	-0.414457050554761	-0.0169034385734862	-0.0188401789912832	-1.72107146393195	-2.91354800467539	-3.52065700822955	-1.6978419480051	-1.98437115648836	-2.98514870646366	-2.50266651885863	-2.73426502524483	-2.7072766832425	-2.6639793026899	-0.54556302395499	-0.66382664712275	-0.446779782075899	-0.499366082799028	-0.442964864554034
ACMSD:::AAG	-3.14214369493285	-1.02321497614678	-1.40829829093219	-1.37900047767943	-0.986840703656374	-1.37065859168177	-2.99790582790524	-2.86163683636289	-1.21355640198436	-1.17606959800771	-2.57277220087739	0.0134364109665138	0.093788406675329	-0.104584536618459	-0.0590558729402313	-0.0457442219369612	-2.82486306179359	-3.26512686059827	-3.18918284496889	-0.436490762527949	-0.570877615912946
ACMSD:::CCT	-2.31893775119567	-1.96106015243369	-1.8338990263197	-1.36519714777943	-3.04280847064401	-2.87092993264326	-4.56451770732355	-4.25946114765408	-4.45359619195464	-3.4518201960337	-2.16645750874289	0.415375720030248	0.352852041648773	0.390506290671813	0.465216084647099	0.503397840897573	-2.54212438671239	-2.35027949429861	-2.43047544589216	-2.8736560177777	-2.49715416446396
ACSM2A:::AAG	-1.67373552241418	-0.323259870941711	-1.21573209045422	-1.48263276495329	-0.883928446679031	-1.61589486439418	0.846275827965949	-1.45966950764424	-2.14941994157077	-0.518660845844726	-1.1396971834582	0.129092756485591	0.16828952709368	0.275282517161405	0.231555585160748	0.291096398164086	-1.25548022254346	-1.22930795522424	-0.870032242231363	-1.7934062863155	-1.26606017150276
ACSM2A:::CCT	-1.53618472904036	-1.28775304172861	-2.09872305607801	-2.09377894502894	-2.02699252252646	-1.67837921959848	-1.24066498255248	-1.65248113069603	-2.0129249648423	-1.4196597357612	-1.18742403163094	0.894109245760253	0.773489588593978	0.83584821649151	0.832275797982927	0.895806503660409	-1.08489761076501	-2.28188429066017	-1.91237616249295	-0.313610495223133	-1.15734581440906
ACSM2B:::AAG	-1.42734912147121	-2.10456894789886	-1.40624298076443	-1.63349224357466	-1.49142099564443	-1.81603922737119	-1.53185572683524	-0.278021934744472	-1.51231357806262	-1.46230325721331	-1.55385957873329	0.0476581396868798	0.0987882835818888	0.0882454820900398	0.142990491288703	0.138999078665915	-0.792702996570303	-1.1432358543075	-0.797296779647839	-0.853482458012211	-1.27998650282469
ACSM2B:::CCT	-2.17925500482702	-1.72506868738543	-1.9403403885706	-1.70942740224467	-1.77174078682534	-1.84369289934861	0.318181856490541	-2.33077971941659	-1.47484017205639	-1.70234678100704	-1.88983429149557	0.76090560361913	0.731624241990503	0.727507385731049	0.697705518999173	0.806167053748512	-0.870106521628384	-1.71535494247934	-1.92897175662315	-1.20752055784634	-1.7291621790112
ACSM5:::AAG	-1.05835743265277	-0.762886026475721	-0.619059622523266	-0.865540653855611	-0.973639875009678	-0.638236080986859	-0.786114784399643	-0.455740779453074	-0.917805548660701	-1.03084592852545	-1.0649466798541	-0.760048255183298	-0.699089668915879	-0.669755433562501	-0.674575798651184	-0.543614849190526	-0.821596766225602	-0.805087093686621	-0.956172715093807	-0.924966212449611	-0.843070718716904
ACSM5:::CCT	-1.49805358206781	-1.31128722251802	-1.31425960326126	-1.35194161002559	-1.18972645813143	-1.38759874103719	-1.06154842194542	-1.17567442136308	-1.36379132568133	-1.54344886619481	-1.02757147491558	-0.80778186726942	-0.732390177397796	-0.826623650761651	-0.796278605827303	-0.713798576053971	-1.51875225987396	-0.92864356468038	-1.05562556637317	-1.57319789547349	-1.4651805589766
