L_DESeq2_Active	A_DESeq2_Active	S_DESeq2_Active	V_DESeq2_Active	A_1_ratio	A_1_L_ratio	A_2_ratio	A_2_L_ratio	A_3_ratio	A_3_L_ratio	A_4_ratio	A_4_L_ratio	A_5_ratio	A_5_L_ratio	A_6_ratio	A_6_L_ratio	S_1_ratio	S_1_L_ratio	S_2_ratio	S_2_L_ratio	S_3_ratio	S_3_L_ratio	S_4_ratio	S_4_L_ratio	S_5_ratio	S_5_L_ratio	L_1_ratio	L_1_L_ratio	L_2_ratio	L_2_L_ratio	L_3_ratio	L_3_L_ratio	L_4_ratio	L_4_L_ratio	L_5_ratio	L_5_L_ratio	V_1_ratio	V_1_L_ratio	V_2_ratio	V_2_L_ratio	V_3_ratio	V_3_L_ratio	V_4_ratio	V_4_L_ratio	V_5_ratio	V_5_L_ratio	A_1_ratio_scaled	A_2_ratio_scaled	A_3_ratio_scaled	A_4_ratio_scaled	A_5_ratio_scaled	A_6_ratio_scaled	S_1_ratio_scaled	S_2_ratio_scaled	S_3_ratio_scaled	S_4_ratio_scaled	S_5_ratio_scaled	L_1_ratio_scaled	L_2_ratio_scaled	L_3_ratio_scaled	L_4_ratio_scaled	L_5_ratio_scaled	V_1_ratio_scaled	V_2_ratio_scaled	V_3_ratio_scaled	V_4_ratio_scaled	V_5_ratio_scaled	A_mean_log_ratio	S_mean_log_ratio	L_mean_log_ratio	V_mean_log_ratio	A_order	S_order	L_order	V_order	FDR_active_A	FDR_active_S	FDR_active_L	FDR_active_V
ACACB_tv2:::AAG	0	1	0	0	0.791978936105015	-0.336466034760446	0.925815261016868	-0.111203750866447	1.20239264386375	0.265908088107979	1.28820240142094	0.365359286453591	0.972920319137385	-0.0396064398219387	0.900096301891264	-0.151848730302432	0.31427799721473	-1.66988682313362	0.127747782234305	-2.96862984941795	0.280530616951013	-1.83376986054915	0.173251653145805	-2.5290589764419	0.104251922744414	-3.26185410298481	0.319373022706283	-1.64668564078441	0.269685447654859	-1.89065041967127	0.299725045160522	-1.73828845374787	0.322068574893997	-1.63456019497488	0.290653976018839	-1.78262545074754	0.654362796600284	-0.611837367827174	0.371220914868657	-1.42965009959626	0.468592431724735	-1.09359444158552	0.742883835066682	-0.428791461075888	0.593565207855527	-0.7525215647975	-0.548456664572915	-0.326408887844582	-0.0818423662072351	0.000187850114589134	-0.266843113754964	-0.319473068998686	-1.49505550457287	-2.63461769502956	-1.5161557543742	-2.20343064312475	-2.90850678517219	-1.81475425812906	-2.02956805684726	-1.88061208799473	-1.7366862989706	-1.84279719788322	-0.452151552621843	-1.21803851169514	-1.0446535264518	-0.417825151610655	-0.552856764338973	-0.257139375210632	-2.15155327645472	-1.86088357996498	-0.737105101343682	550	1206	1222	713	1	0	0	1
ACACB_tv2:::CCT	0	1	0	1	1.10892796392879	0.149165650929603	0.911044437480791	-0.134406669652989	1.25331474767717	0.325748767325805	0.966414754398268	-0.0492856142157591	1.15695538793047	0.210333235359539	1.10863476935408	0.148784159704971	0.268705399596907	-1.8959027824927	0.105289964534081	-3.24756015906377	0.0699141791548386	-3.8382711144045	0.245965813936287	-2.02347028132225	0.197822924447262	-2.33771847430098	0.141897385322434	-2.81708008911901	0.194285631989667	-2.36374888168263	0.165862380541345	-2.59194139099797	0.164350690260421	-2.60515057924678	0.164503757703854	-2.60380755555421	0.613336689864424	-0.70524883916032	0.545088264423533	-0.875438235023874	0.709207305624577	-0.495720697209613	0.702060666730433	-0.510332392264261	0.640544335149493	-0.642629665012561	-0.0628249788828656	-0.349611806631123	-0.0220016869894095	-0.414457050554761	-0.0169034385734862	-0.0188401789912832	-1.72107146393195	-2.91354800467539	-3.52065700822955	-1.6978419480051	-1.98437115648836	-2.98514870646366	-2.50266651885863	-2.73426502524483	-2.7072766832425	-2.6639793026899	-0.54556302395499	-0.66382664712275	-0.446779782075899	-0.499366082799028	-0.442964864554034	-0.147439856770488	-2.36749791626607	-2.7186672472999	-0.51970008010134	535	1288	1484	666	1	0	0	1
ACMSD:::AAG	1	0	0	0	0.131200664762548	-2.93015306512038	0.571169228041422	-0.808009839168641	0.479449962882151	-1.06054783661698	0.495230117017234	-1.01382904134043	0.590658423935708	-0.759604029723349	0.434360779702739	-1.20303425298552	0.11089474090237	-3.17273714646599	0.109147501365457	-3.19564899075128	0.345996534217446	-1.53117050815931	0.353137532604242	-1.50169793132485	0.131567994262609	-2.92611951869001	1.13406633337144	0.181505028311168	1.17503688453236	0.232706043851325	1.02650389212702	0.0377390976284015	1.03030410807525	0.0430702310554847	1.01005056950232	0.0144275251987195	0.126345932329923	-2.98454887699892	0.0898250442712357	-3.4767384484994	0.10598090372692	-3.2381237601026	0.733334301649421	-0.447457071993182	0.58619703811217	-0.770542416371473	-3.14214369493285	-1.02321497614678	-1.40829829093219	-1.37900047767943	-0.986840703656374	-1.37065859168177	-2.99790582790524	-2.86163683636289	-1.21355640198436	-1.17606959800771	-2.57277220087739	0.0134364109665138	0.093788406675329	-0.104584536618459	-0.0590558729402313	-0.0457442219369612	-2.82486306179359	-3.26512686059827	-3.18918284496889	-0.436490762527949	-0.570877615912946	-1.55169278917157	-2.16438817302752	-0.0204319627707618	-2.05730822916033	966	1212	586	1189	0	0	1	0
ACMSD:::CCT	1	0	0	0	0.232137721386692	-2.10694712138321	0.298157180070223	-1.74585501545556	0.356964232042832	-1.48614857200449	0.499991089173183	-1.00002571144043	0.142045812161762	-2.81557179671098	0.153540845845913	-2.703305593947	0.0374380985602237	-4.7393490258843	0.0414215886832415	-4.59347330204247	0.036620357915693	-4.77121029812959	0.0729247057772795	-3.77744852935084	0.174366545688567	-2.51980482655551	1.49842236426239	0.583444337374902	1.40616869212019	0.491769678824769	1.44676432102022	0.532829924918674	1.48179121809395	0.567342188642815	1.47792144412425	0.563569588033253	0.153700077552463	-2.70181020191772	0.169353407219092	-2.56189108219973	0.17931693358529	-2.47941636102588	0.135407323360559	-2.88462232724294	0.154232748747028	-2.69681896492248	-2.31893775119567	-1.96106015243369	-1.8338990263197	-1.36519714777943	-3.04280847064401	-2.87092993264326	-4.56451770732355	-4.25946114765408	-4.45359619195464	-3.4518201960337	-2.16645750874289	0.415375720030248	0.352852041648773	0.390506290671813	0.465216084647099	0.503397840897573	-2.54212438671239	-2.35027949429861	-2.43047544589216	-2.8736560177777	-2.49715416446396	-2.23213874683596	-3.77917055034177	0.425469595579101	-2.53873790182896	1284	1554	437	1410	0	0	1	0
ACSM2A:::AAG	1	0	0	0	0.36305376199845	-1.46174489260171	0.927838274832505	-0.108054733963577	0.547912857484675	-0.86798163613901	0.460904152700935	-1.11746132861429	0.634331208052723	-0.656691772746005	0.366460466340626	-1.44827052569793	1.59266683924989	0.671444509405201	0.28843503889589	-1.79368166203263	0.180862592308373	-2.46703404774572	0.556985170039859	-0.844289179161868	0.355262052237791	-1.49304450127082	1.22872441273036	0.297161373830245	1.23731013788822	0.307207164269675	1.33570938657418	0.417606151408266	1.26022530950286	0.333681689156464	1.27568147310892	0.351268145299767	0.374966590459087	-1.41516603774879	0.368332462213993	-1.44091954312537	0.528885322103347	-0.918973157365076	0.286305522617937	-1.80437259578074	0.362053556563521	-1.46572497196129	-1.67373552241418	-0.323259870941711	-1.21573209045422	-1.48263276495329	-0.883928446679031	-1.61589486439418	0.846275827965949	-1.45966950764424	-2.14941994157077	-0.518660845844726	-1.1396971834582	0.129092756485591	0.16828952709368	0.275282517161405	0.231555585160748	0.291096398164086	-1.25548022254346	-1.22930795522424	-0.870032242231363	-1.7934062863155	-1.26606017150276	-1.19919725997277	-0.884234330110399	0.219063356813102	-1.28285737556347	845	763	504	861	0	0	1	0
ACSM2A:::CCT	1	0	0	0	0.399372223337554	-1.3241940992279	0.475478527286877	-1.07254790475048	0.297101418466925	-1.75097260176279	0.301743059244828	-1.72860750868994	0.287223192238508	-1.79975584859344	0.350927550303081	-1.51075488090222	0.374880762511565	-1.41549630111322	0.252351525823328	-1.98649328508441	0.198809820664215	-2.33053907101725	0.298274372094116	-1.74528806907834	0.343701642330383	-1.54077134944355	2.08808126872131	1.06217786310491	1.88218341906257	0.912407225769974	1.96996753012183	0.978171850738371	1.91109818704263	0.934401901978643	1.93989457577757	0.95597825079609	0.422029740342971	-1.24458342597034	0.177575459233633	-2.49349587856129	0.256793915099879	-1.96131707762666	0.798532590869397	-0.324576804688366	0.390390373931326	-1.35701061486759	-1.53618472904036	-1.28775304172861	-2.09872305607801	-2.09377894502894	-2.02699252252646	-1.67837921959848	-1.24066498255248	-1.65248113069603	-2.0129249648423	-1.4196597357612	-1.18742403163094	0.894109245760253	0.773489588593978	0.83584821649151	0.832275797982927	0.895806503660409	-1.08489761076501	-2.28188429066017	-1.91237616249295	-0.313610495223133	-1.15734581440906	-1.78696858566681	-1.50263096909659	0.846305870497815	-1.35002287471006	1069	952	316	880	0	0	1	0
ACSM2B:::AAG	1	0	0	0	0.430666051436022	-1.21535849165875	0.269926062901215	-1.88936381092073	0.480133489628032	-1.05849252644922	0.415142687900071	-1.26832080723566	0.416334690258438	-1.2641843217114	0.318990444089564	-1.64841488867493	0.306362783086856	-1.70668704539599	0.654273575854333	-0.612034089132858	0.281278720045997	-1.82992768423757	0.289586932807327	-1.78793159053046	0.266608208247747	-1.90720689654591	1.1612887657986	0.215726757031534	1.17911621648044	0.237705920757885	1.17329770205393	0.230569116336901	1.18518855127524	0.245116595284419	1.14803834206868	0.199170825801595	0.516776076245893	-0.952388811775633	0.390976163153957	-1.35484744220862	0.556233409134597	-0.846237694781553	0.549256229520025	-0.864448767477444	0.358575468557161	-1.47965130328322	-1.42734912147121	-2.10456894789886	-1.40624298076443	-1.63349224357466	-1.49142099564443	-1.81603922737119	-1.53185572683524	-0.278021934744472	-1.51231357806262	-1.46230325721331	-1.55385957873329	0.0476581396868798	0.0987882835818888	0.0882454820900398	0.142990491288703	0.138999078665915	-0.792702996570303	-1.1432358543075	-0.797296779647839	-0.853482458012211	-1.27998650282469	-1.64651891945413	-1.26767081511779	0.103336295062685	-0.973340918272509	1004	871	531	764	0	0	1	1
ACSM2B:::CCT	1	0	0	0	0.255737499039152	-1.96726437501455	0.351144428481311	-1.5098635504073	0.331575672396468	-1.59258993425539	0.393857057900298	-1.34425596590567	0.342813513800233	-1.54450411289232	0.312934242854119	-1.67606856065235	1.10446717178754	0.143350537929792	0.157694923861602	-2.66479187380497	0.288680531616084	-1.79245427823134	0.245198980504789	-2.02797511432418	0.211220005637022	-2.24318160930819	1.90392179614793	0.928974220963784	1.82834950326625	0.870541879166499	1.82744884244763	0.86983101997791	1.74089793445655	0.799831622994889	1.82303062947573	0.866338800884192	0.489780643303085	-1.02979233683371	0.262981545737017	-1.92696653038046	0.253856891046402	-1.97791267175686	0.429733196283928	-1.21848686731158	0.262642632501557	-1.92882697946972	-2.17925500482702	-1.72506868738543	-1.9403403885706	-1.70942740224467	-1.77174078682534	-1.84369289934861	0.318181856490541	-2.33077971941659	-1.47484017205639	-1.70234678100704	-1.88983429149557	0.76090560361913	0.731624241990503	0.727507385731049	0.697705518999173	0.806167053748512	-0.870106521628384	-1.71535494247934	-1.92897175662315	-1.20752055784634	-1.7291621790112	-1.86158752820028	-1.41592382149701	0.744781960817673	-1.49022319151768	1104	923	354	933	0	0	1	0
ACSM5:::AAG	0	0	0	0	0.556183633540751	-0.846366802840297	0.684118955861847	-0.547680889497587	0.828567324252579	-0.271309168208052	0.70692584010226	-0.50036921751661	0.59608781963704	-0.746403201076652	0.72165852985341	-0.470611742290605	0.513719911177932	-0.960946102960392	0.578443143716795	-0.789752933841461	0.424718938264631	-1.23541965483565	0.390535536962289	-1.3564742618426	0.374154492359212	-1.41829399766672	0.663431933894055	-0.591979637838643	0.678221285547132	-0.560172031739884	0.693788677146789	-0.52743179931564	0.672473958374347	-0.572449694655468	0.715268542310854	-0.483443102054845	0.506529226218332	-0.981282581430932	0.494246042214991	-1.01669868158775	0.498230887972219	-1.00511363022752	0.522704497593396	-0.935932521914844	0.485406213404154	-1.04273551917543	-1.05835743265277	-0.762886026475721	-0.619059622523266	-0.865540653855611	-0.973639875009678	-0.638236080986859	-0.786114784399643	-0.455740779453074	-0.917805548660701	-1.03084592852545	-1.0649466798541	-0.760048255183298	-0.699089668915879	-0.669755433562501	-0.674575798651184	-0.543614849190526	-0.821596766225602	-0.805087093686621	-0.956172715093807	-0.924966212449611	-0.843070718716904	-0.819619948583984	-0.851090744178595	-0.669416801100678	-0.870178701234509	708	759	795	736	1	0	1	1
ACSM5:::CCT	0	0	0	0	0.410068561793158	-1.28606295225534	0.46778513241917	-1.09608208553988	0.511742816545759	-0.966509148946046	0.504606196033387	-0.986770173686585	0.513170525720588	-0.962489784198403	0.429290335026196	-1.21997440234094	0.424436390044266	-1.23637974050617	0.351187505829148	-1.50968657575147	0.311778763367066	-1.68140543185628	0.273748468855062	-1.86907719951195	0.383974180183014	-1.3809187927282	0.641840508327562	-0.639713249924766	0.662745768897225	-0.5934725402218	0.622307691863853	-0.68430001651479	0.618072292924814	-0.694152501831587	0.635680250021128	-0.653626828918291	0.312420694539674	-1.67843807507929	0.4536793336106	-1.1402551525815	0.465042191827754	-1.10456648150688	0.333517829863237	-1.58416420493872	0.315378155361629	-1.66484535943513	-1.49805358206781	-1.31128722251802	-1.31425960326126	-1.35194161002559	-1.18972645813143	-1.38759874103719	-1.06154842194542	-1.17567442136308	-1.36379132568133	-1.54344886619481	-1.02757147491558	-0.80778186726942	-0.732390177397796	-0.826623650761651	-0.796278605827303	-0.713798576053971	-1.51875225987396	-0.92864356468038	-1.05562556637317	-1.57319789547349	-1.4651805589766	-1.34214453617355	-1.23440690202004	-0.775374575462028	-1.30827996907552	889	865	828	869	0	0	0	0
